number,address,length1,weight1,count1,looped1,neighbors1,income1,length2,weight2,count2,looped2,neighbors2,income2,length3,weight3,count3,looped3,neighbors3,income3,label
0,1G2Pz5ETYEnMBVe6riodVRo5jQvyNvjVqE,0,1.0,1,0,1,78315970.0,4,0.0062943863573366,22,0,1,56748618.0,70,0.0117848723988842,15,14,1,129724803.0,0
1,1EfMVkxQQuZfBdocpJu6RUsCJvenQWbQyE,144,0.584435107390368,5242,5242,3,1999800000.0,144,0.0397522258898019,5311,1,2,1299900000.0,144,0.216806401232023,5768,5740,2,499900000.0,0
2,1K7Wf4xbUvUyS41dza59n7FSnPCoqsaxuM,86,0.0004882887005805,27,0,4,397000000.0,38,0.000244140625,1,0,2,158000000.0,42,0.0020751953125,31,0,2,162714837.0,0
3,1Hk3y2wPK9XN3jmum7VEoG3ZiNbazSL8Dg,0,1.0,1,0,1,69080000.0,2,2.0,1,1,2,171912754.0,2,2.0,1,1,2,170312974.0,0
4,1Cjx6FNPuPMChZ9h6hZFdiL3dcC5GzQTpg,144,0.0456278494934609,4118,4118,3,800000000.0,144,0.763215327878429,6546,6451,5,1000000000.0,0,0.5,1,0,2,396000000.0,0
5,16KkqV88KzzxTbXDAkYo9mgQdWdc7qNBvY,20,0.00048828125,1,0,2,2382000000.0,0,0.5,1,0,2,2205000000.0,110,3.4931843823811e-09,77,0,1,3315000000.0,0
6,16VNodL53ZaQo5vXXSybFCwCE6Ab5TSAiH,38,1.9073486328125e-06,1,0,1,178200000.0,102,4.76844434160739e-07,3,0,5,787814973.0,36,6.103515625e-05,3,0,2,109130000.0,0
7,1LQzXKE1jiyS1xLyoAVGGX7zBxRTb5pHMB,2,0.0084745762711864,1,0,1,41401694.0,2,0.0079365079365079,1,0,1,41068920.0,2,0.0222222222222222,1,1,1,56796791.0,0
8,1ArraDKJjbMPipWLJ4uUYVEtdR5k6fzwQe,0,0.0178571428571429,1,0,1,169320484.0,2,0.0114942528735632,1,0,1,219952521.0,0,0.0142857142857143,1,0,1,201083555.0,0
9,1MBaGHm1jx8SFuugsXYDbw6o34URQ91kNV,20,0.0040760869565217,24,0,2,305000000.0,16,0.0625,1,0,2,34000000.0,2,0.0168596730245232,50,0,1,300000000.0,0
10,1Px611yZxB2qfnzvrBSBJbDFA8XY45JqNQ,6,1.0,6,0,4,10000000000.0,144,2.60294108760908,5515,5463,2,10000000000.0,134,1.56775806817723,8070,3,2,15000000000.0,0
11,364GLqNDRqdyjS4EnBx7vGxrN9A6ySooJs,144,0.750006575871943,1620,1486,10,448000000.0,144,0.194974251825885,4903,4903,1,103000000.0,144,0.60987476554835,5389,3182,3,176480000.0,0
12,3MKRGaE5Afu1nQ2G361sHk2dqwvU9tfsng,0,0.25,1,0,2,55050000.0,0,0.444444444444444,2,0,4,100106880.0,144,1.26160296909867,3868,7,6,121000000.0,0
13,18HufNjR3ouAbxANfTHTxj9SKgR3LR6yfQ,16,3.91136143824316e-05,7,0,1,100472386.0,4,0.0510449320794148,4,0,1,50711064.0,2,0.0021367521367521,1,0,1,50034132.0,0
14,14LgMJg35QPoVSqqkNFKrjWpvrAuG1sAXa,144,1.84566211123977,2660,5,9,4300000000.0,30,0.000390625,2,0,2,400000000.0,0,1.0,1,0,2,700000000.0,0
15,18qbHtuHtxWxsWtgJoq59ejGk9cmD9FX5p,2,0.75,1,1,2,3495323118.0,2,4.0,2,2,4,3509347587.0,0,0.5,1,0,2,3400890103.0,0
16,3QvyMZqkbhUrV9fFpztfHMALvu565j5j78,144,1.74017788752461e-06,2517,0,2,873046302.0,24,0.5,2,0,2,430086467.0,10,0.0170138888888889,2,0,2,180418984.0,0
17,1hCzsUK1CixTb4FGfBADdiSBTPBcW4BWk,2,0.25,1,0,1,990000000.0,2,0.5,1,0,2,40000000.0,16,0.0274016203703704,8,0,1,57964500.0,0
18,1PYSMz92KU6LP8zD3MnXu1GDZ94CXjiYEs,18,0.00546875,3,0,1,1702000000.0,10,0.015625,1,0,2,536000000.0,0,0.5,1,0,2,414000000.0,0
19,16b6igV4qaJLfF5tiKW3sTUn1FFLYZv3ZD,12,3.62723214285714,13,0,2,17120000000.0,2,1.0,1,0,2,7100000000.0,0,0.5,1,0,2,438000000.0,0
20,1PmmdKYJNUbrs5Kwt8MZiYhTHNpSzk69pP,144,0.0540790883513109,1614,0,1,67200000.0,2,0.34375,10,0,1,109100000.0,144,0.018153761886158,4597,0,2,107500000.0,0
21,1KJjuqM2nvatbnx3zWi2a6dTHLfZSqoseS,2,0.015625,1,0,1,47500000.0,4,0.166666666666667,1,0,1,100000000.0,0,1.0,1,0,1,36000000.0,0
22,12TxceP4G5EKxAt92knd4N1C3ox9adtTWS,4,1.0,1,0,2,829262446.0,78,0.0846380808996776,4,0,2,381795501.0,0,0.0769230769230769,1,0,2,1000000000.0,0
23,1QJNF2BbTCmF6mxBnStjx76eJ4zAoyc95G,144,2.01316674315978,2835,2,4,1087079552.0,144,0.356760340078751,1879,509,2,700085156.0,144,0.0696308367269392,8724,0,1,331357302.0,0
24,3EWSXxK1DXZKox8Tc3T1ejbxpMhxG36Qah,36,0.437652587890625,2,2,5,1047894921.0,144,2.05513460350111,6092,6017,3,599650000.0,0,0.5,1,0,1,228111944.0,0
25,1E8sTUfhM1NWcAm9BYQ1po5DSvhh2EKzLG,144,0.240663162110032,7393,7393,1,299960000.0,0,2.0,2,0,3,247435520.0,4,1.5,2,0,2,245891840.0,0
26,1Fzx58ffJipALFQSr9WU9B22xZMT9UjQqo,0,0.009090909090909,1,0,1,73351285.0,0,0.0081967213114754,1,0,1,80364679.0,2,0.0086206896551724,1,0,1,65212801.0,0
27,19bHV8JtHkohdC4tP12qmwK9QgdQqyMTZs,0,1.0,1,0,1,100000000.0,0,1.0,1,0,1,100000000.0,0,1.0,1,0,1,53000000.0,0
28,14ALinGPALfnvJ7ciV2k2uRvgQBzBBw514,12,0.015625,1,0,2,200000000.0,116,1.46761592725913,41,0,2,91000000.0,0,1.0,1,0,2,114000000.0,0
29,137kx3BV48NBHuS765VE6RXiKZB9s9Lat3,0,0.0833333333333333,1,0,1,123563708.0,0,0.1,1,0,1,132569742.0,0,0.0666666666666667,1,0,1,40681179.0,0
30,13abVMatyYYLubRED26XgUiKeg3x9Tyyos,142,0.0011924440537715,1040,0,1,79640000.0,0,0.0028089887640449,1,0,1,64210000.0,2,0.0045955882352941,5,0,1,32560000.0,0
31,1Ns5HTLBDxUmpYvaKuTc4fmWcHfugSD1w3,6,0.479166666666667,7,0,1,500000000.0,10,0.25,1,0,2,296724746.0,0,0.5,1,0,2,90606000.0,0
32,1QH5BJFdn5ycLkfXHhKGgxqpVYASxZo24u,0,0.5,1,0,1,2002160000.0,0,0.5,1,0,1,5400000000.0,0,0.5,1,0,1,3323600000.0,0
33,18e2Q7iRjRvKdPsFUGJmgN6oCDq668fpgZ,6,0.767780172413794,55,0,1,4300000000.0,0,0.5,1,0,1,5300000000.0,8,0.1875,2,0,1,6240000000.0,0
34,1P9RQEr2XeE3PEb44ZE35sfZRRW1JHU8qx,144,38.805661088305,3418,3418,1010,13031106021644.0,144,76.6544480103387,5653,5653,1232,12451476294815.0,144,163.740094521283,7561,7561,1656,4594981987167.0,0
35,1Kn26kxc88fiRRTwvysffQaPYa19UbERoF,144,1.54047741576595,2101,1711,6,12400000000.0,114,1.09583280499269,1153,1153,1,4019990000.0,0,0.5,1,0,1,2632920000.0,0
36,1AB2pgzv4yZQWp1ZS5Vb8sHWGHbuXwh2An,4,0.5,1,0,1,780000000000.0,0,0.5,1,0,1,37884790000.0,2,1.0,1,0,1,700000000000.0,0
37,1PJs3FJLhYFwpFnmg4n6e7P984uuce3yfr,144,1.25230768139588,6319,2416,5,3719500000.0,144,0.065769925660117,4819,3304,1,631185800.0,126,0.187434054712081,7994,0,2,1189950000.0,0
38,1G4hfnM2ufAPEECdawg5gtvUTBB2PxvLr2,0,1.0,1,0,2,531920121.0,6,0.0096153846153846,1,0,2,50000000.0,18,0.0026041666666666,2,0,2,58993296.0,0
39,15k4sxwBB5rSwopjngz1NJAZG8hFREXHDa,136,0.199119379741113,6091,0,2,69900000.0,144,0.675930665862319,5969,5969,6,269850000.0,116,0.243934166498035,6181,3,6,209750000.0,0
40,1JG1Vr1GwF37zM3UuRT676XrXsQni3xT7a,12,2.33333333333333,4,4,7,565350000.0,4,1.75,2,2,5,225400000.0,0,1.0,1,0,1,40600000.0,0
41,1NQCGWn8Ye9tCMSVYGkDDpLCEa7eMuzL8J,0,1.0,1,0,1,36342278.0,144,0.212153055693856,2440,2203,3,196130000.0,0,0.5,1,0,2,71913744.0,0
42,3CXwZDkwEKgtt4Qpk8auBDcASXA8Q7EsWw,6,1.875,2,2,4,310235313.0,144,2.7938125644338,1590,1230,14,556274839.0,6,2.21590909090909,3,3,13,540057482.0,0
43,1GviHhQnjZjiba8ut2DWExWenkZC4TZc27,140,0.0333333334264916,3386,0,2,32000000.0,18,0.250868055555556,2,0,3,110135897.0,2,0.5,1,0,1,50200800.0,0
44,1JFu4ard5X8VeBTrqussT7D6XEQEuMPLZ5,90,0.0014428149304036,45,0,1,66880000.0,0,0.0038910505836575,1,0,1,61060000.0,0,0.0036496350364963,1,0,1,59070000.0,0
45,1BPzCwGe5kPYejfFH7VVR3WE1edSFtNwuQ,2,0.0149142431021626,45,0,1,32000000.0,2,0.0133155792276964,41,0,1,229000000.0,2,0.0163442294863242,53,0,1,319000000.0,0
46,19yUZJJ4DoEpKjmFSPBcgX8LBg9GwSdMyG,6,0.125,1,0,2,162126540.0,30,0.125,1,0,2,160000000.0,144,2.18990445445929,5200,1,2,199950095.0,0
47,17YoHXohggm5aECBMnbZ9LfKAmxdWAUDER,0,1.0,1,0,2,119820000.0,0,1.0,1,0,2,61500000.0,2,0.85,2,2,3,899653988.0,0
48,1Q7AwU81MBYGM9pABN2Gv1ZMGimUnQcoAS,2,1.0,1,0,1,54989907.0,6,0.2,1,0,1,331491712.0,0,1.0,1,0,1,31486588.0,0
49,1FN2go5XFpjuZ4pUurSg8NkMp8GUrHKXAa,2,0.5,1,0,2,1845000000.0,6,0.125,1,0,1,40000000.0,44,0.0043538888295491,16,0,1,370000000.0,0
50,14yPa7MFxpVkGunfSLeiKqWn2oZ5ZbBPsF,0,1.0,1,0,1,500000000.0,0,0.5,1,0,1,500000000.0,0,0.5,1,0,1,1000000000.0,0
51,1KjfYGHeqBUFFmcTvUd55avxeXc1XfdFxL,140,0.0123990198811905,1902,0,2,42648638.0,14,0.0177083333333333,2,0,2,82495646.0,0,0.5,1,0,2,38500000.0,0
52,3Gpyko6cbnZXMX5FiVmhLufLBFHW1DErAN,0,0.0120481927710843,1,0,2,37020290.0,0,0.0113636363636364,1,0,2,36757390.0,0,0.012987012987013,1,0,2,31667592.0,0
53,1RvFvnbWdaR47BWYSFDUXXwSJhHeFCDJx,32,0.0078277587890625,2,0,1,3000000000.0,14,1.28125,3,2,4,14000000000.0,144,0.500000000005572,5,0,1,3000000000.0,0
54,156Nk2CgE25jpNNGcdTVMgTdFghkrhx1A6,0,1.0,1,0,2,59132737.0,4,2.66666666666667,3,3,5,118221177.0,144,0.0375542206450495,2116,2110,3,199507776.0,0
55,13WKEaPFJb6xx5AwtHVzxUZqkk89zoakiq,2,0.125,1,0,1,500000000.0,144,0.0008947513093556,177,0,1,1000000000.0,0,0.5,1,0,1,4398175000.0,0
56,1PMwrANiL9brBEpCDQy5bLCeJD8WCaykK2,26,1.125,5,5,2,464671963.0,0,1.0,1,0,2,271463535.0,2,1.0,1,0,2,700000000.0,0
57,1Kw7FQJ9MdXjgUycRh9jYdTHoLAP6GVL4y,2,0.009125344352617,28,0,1,203000000.0,2,0.008160237388724,31,0,1,203000000.0,2,0.0152738764044944,51,0,1,204000000.0,0
58,16Lz4tmiCTfLdSakgywXXbFz1tNXcBrsPj,50,9.5367431640625e-07,1,0,1,40000000.0,18,0.0020586993243243,39,0,2,33000000.0,46,3.87249570904356e-06,34,0,1,47000000.0,0
59,17baLvY7UDpRqLVLQ3UoW6ymTa8UdpDn7y,34,4.15620349702381e-05,2,0,1,200000000.0,10,0.003125,1,0,1,200000000.0,10,0.0026041666666666,1,0,1,500000000.0,0
60,16btGHBW46ghuz4HYZg3eQW2ZqqNMZQpHT,0,1.0,1,0,2,155400000.0,0,1.0,1,0,1,186145000.0,0,1.0,1,0,1,373849000.0,0
61,1Zkjew1Rp6UwDDAHeRYtUdTYxTMzGdDr3,0,1.0,1,0,1,101000000.0,0,1.0,1,0,1,100000000.0,0,1.0,1,0,2,78700000.0,0
62,14gK3GBo6fgDwddjA6GTGKtMYJ43bX28ms,2,0.0179407176287051,49,0,1,50000000.0,2,0.0177304964539007,53,0,1,50000000.0,2,0.0158096926713948,62,0,1,50000000.0,0
63,1QDQagSf1WDqhSA8HkoEFKos3KY4hY59x8,144,2.72915191496299,5112,4119,3,28509760000.0,4,0.375,1,1,2,2041385310.0,6,0.625,2,0,3,417500000.0,0
64,19RpWerMsFmUbKANMbUkxuiX83wSe34en,4,0.0246913580246914,3,0,1,58264812.0,10,0.0595793095793096,4,0,1,53784091.0,0,0.0294117647058824,1,0,1,51575512.0,0
65,1PPDGxB2jHQWMA8bP9inYh26EMj6rTj9jT,0,0.5,1,0,2,113130000.0,32,8.93061271147691e-08,1,0,1,199010000.0,0,1.0,2,0,2,109130000.0,0
66,1DMcZjo89JEXX3nVyiW1NuQ1oXEPnJ29dE,0,1.0,1,0,1,64390000.0,0,1.0,1,0,1,73900000.0,0,1.0,1,0,1,52400000.0,0
67,1B12AXXF8Y96NGwYZvoGu7q6dTTYueF7p1,0,1.0,1,0,2,316325823.0,2,0.666666666666667,5,1,2,102754000.0,42,0.107430013020833,8,0,2,30916152.0,0
68,1Dk7S7v3hDBVcS93LPPKWpCSGbL63Ewwn,144,0.0898350808314619,1092,1092,8,308692510.0,144,1.79753381978525,4402,4402,123,13685976617.0,144,6.77826219096589,2895,2895,169,31705347069.0,0
69,1MRg1rL4HQ84TSQpGVUXLtEDnySjLz69Jk,8,0.0362580310819618,39,36,2,100000000.0,2,0.0537606837606837,22,0,2,104000000.0,2,0.0408653846153846,36,0,2,102000000.0,0
70,1CqiA3dwwDF2yHnarV6nuFZWrPm4mjq6d,0,0.0232558139534884,1,0,1,69969647.0,0,0.0625,1,0,1,122727686.0,0,0.0555555555555556,1,0,1,187460785.0,0
71,1KozjFT568rWjZTcLgVVsvbemW2bgHmkK6,0,0.0026385224274406,1,0,1,265260000.0,2,0.000852514919011,1,0,1,349644007.0,2,0.0004629629629629,1,0,1,277823679.0,0
72,18ednecCo7erkaiFQNotqAm3mXFNDksNEX,8,0.5,1,0,1,172380000.0,142,0.002592182032286,1816,0,1,50520000.0,0,0.0035335689045936,1,0,1,45870000.0,0
73,18b8KFpsA5YdsNzrqyVtmwb68cqnrFW61V,36,0.000244140625,1,0,2,200000000.0,74,0.262024326474483,37,37,4,475014030.0,144,0.837618921221058,6602,5551,8,1076417100.0,0
74,16BaEdq5nJ4maaetjNimzdrVcMUrHAzeQU,2,1.5,1,1,2,2275750000.0,0,0.5,1,0,1,100000000.0,0,1.0,1,0,1,100000000.0,0
75,1NcUcTStfb3GxVzgidAXkoQeH8N7ZzxiBz,2,0.5,1,0,1,377285706.0,6,5.0,7,0,4,780753973.0,144,3.02467023073538,3024,1,3,731758363.0,0
76,19muZ7qbAnHDCVgboTWZZsFcubfyo5BidQ,4,0.0303030303030303,1,0,2,70842751.0,144,1.14015077740971,4334,4334,1,1435412770.0,144,0.182137322312272,3305,0,2,548157650.0,0
77,1EEuP5FY7jiGawo7gPWLC72mnF7PG5iBik,2,0.5,1,0,2,107033300.0,0,1.0,1,0,2,274293500.0,2,1.5,2,0,3,504253531.0,0
78,1MUcGQqLZm7EeqjyLgPDZ5M8irpZpfkgVe,0,1.0,1,0,2,44396682.0,0,0.25,1,0,2,3847740229.0,0,0.5,1,0,2,1130998869.0,0
79,13UHsA9bCYHYmp6vyPkn8xp9WHaQBNjApY,2,0.0357142857142857,1,0,1,100753220.0,2,0.0625,13,0,1,101479304.0,2,0.0375,11,0,1,101254120.0,0
80,3CUaQMRNm6CrkHjcBoqnM55Y2u1W9s1fdF,144,0.0457178552644926,10555,5427,2,3093657140.0,144,0.0648678409891653,4972,4,6,5968131394.0,144,0.0418893622004275,7293,7274,2,881300000.0,0
81,1UQamSTQw5vf8tBqbf2Tfx39xaDrvjCgK,0,0.0666666666666667,1,0,1,42858326.0,4,0.0125,1,0,1,30128428.0,0,0.0769230769230769,1,0,1,104415067.0,0
82,1Lyn4HiYFNyksKufccpXWT8WBskGN26QdU,144,0.569768519266292,2479,838,2,1650000000.0,144,1.53831254174322,4697,3771,8,5350000000.0,144,3.66291720602379e-05,752,0,1,950000000.0,0
83,1EvR1BmMJ2741oJT9PXg9nTnU86VpLupLe,144,0.003150826050161,548,468,2,85411527.0,2,2.0,1,1,3,176639053.0,0,1.0,1,0,1,46418089.0,0
84,1LWgXAkFPM2yExgTzEwn8S35XZ2YHS9ANx,144,0.523952346521052,1498,1498,7,305400000.0,10,0.512493799603175,8,8,10,405200000.0,144,0.443506888836062,3649,3649,9,455900000.0,0
