number,Unnamed: 0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,label
0,0,1086,3416,-4767,8555,10629,14721,7568,10762,6492,11596,6433,6027,11769,2584,4562,9456,-2765,2103,3566,15626,3801,5368,10176,0
1,1,-4140,-9887,-10092,-3207,-14010,-4448,-7565,-12108,-12991,-8287,-9948,-11493,-10787,-13549,-10126,-9935,-9804,-1851,-13990,-12804,-11378,-1448,-6179,0
2,0,9185,11661,-985,4123,6877,463,3326,-330,3015,11081,3046,4691,11581,3855,5905,11092,-1225,3533,15377,3684,395,4713,5539,0
3,0,14595,5249,8093,9006,13708,2808,2609,4887,11027,11764,11228,9906,11354,4323,122,5752,2834,12307,3659,8318,13465,7986,10700,0
4,0,-4051,-4336,-7143,-12487,-5639,-11610,-13707,-9066,-5051,-6980,-5829,-13460,-13083,-13234,-3742,-12263,-12074,-11601,-7643,-11610,-12902,-5296,-13620,0
5,0,-1385,14690,15807,6257,7818,6452,7550,2686,13606,8908,17150,10404,-942,294,14968,-498,4239,11506,15135,7372,8150,10921,-413,0
6,6,9498,10960,8120,8904,11680,-1288,15711,3432,12456,10600,4423,5082,8321,-622,5952,12155,1712,9419,9423,9282,9191,12783,1290,0
7,7,1039,3134,5900,10705,4911,4152,3794,5928,2046,9416,4299,3270,6447,161,7271,5285,5900,5109,8050,3664,2011,7698,5533,0
8,8,2722,5224,6824,4834,7826,7064,2446,4055,5827,11485,-1194,-1108,6206,-5326,4079,236,1337,6828,-1774,-2797,9229,2595,-837,0
9,9,-1028,1770,-1574,1365,3573,-1464,-5451,4775,4381,4575,965,-4676,-3871,-2401,4715,4837,108,-2125,259,-1841,4713,-4619,1413,0
10,10,1563,11438,2059,4146,5623,-873,4877,-2618,1409,-291,-517,4653,403,1962,4748,-4790,5250,5256,2518,-1180,5795,8450,2590,0
11,11,9407,-2854,12489,8331,3754,11414,4796,10939,965,5672,9190,14757,2547,1377,13261,5776,9726,4345,7599,2509,4446,6990,6881,0
12,12,-3604,-228,6462,2247,-5359,2146,-727,-486,-1253,5215,1678,-2400,5251,-5345,3184,2456,2544,3518,-2280,-7486,9978,-1290,3444,0
13,13,-677,-5772,-2987,-3534,-3727,660,-8330,-6121,-2085,-8023,-6136,-10664,-8189,-7173,-2593,-487,-7838,300,3928,-1058,-2207,-8240,688,0
14,14,2184,5087,10935,11529,795,6745,8514,6237,2078,10611,12604,9271,6949,4116,9038,6833,7165,1839,2803,2199,10995,12284,7161,0
15,15,10121,9887,11768,7535,12402,4523,5721,6445,13391,2020,4199,8386,8773,-575,6911,3137,10122,1672,11879,10541,4949,4271,10973,0
16,16,7759,10774,2925,5624,11903,7032,4370,7748,5356,9187,7040,-1324,10801,2536,4318,3996,4957,5204,3512,190,9356,5012,-1569,0
17,17,108,7275,10019,-466,5326,389,2774,9203,5425,7959,5737,11436,5928,2086,8293,10241,5291,5576,9521,9851,6008,-1538,10819,0
18,18,-1829,8837,3432,7984,11893,9115,-1,2492,-608,2055,6355,8114,9302,2354,4584,648,5053,2917,8391,2059,6096,10586,7807,0
19,19,-925,-28,-3519,-4577,6194,-2164,-3425,-3118,1408,-2999,2938,2116,-2238,-3989,5608,1782,153,4398,-592,360,-2742,-1411,2305,0
20,20,4237,11438,8260,3543,1783,1789,7639,1635,12768,5605,7210,6736,6860,4519,6958,5399,6836,867,9078,7663,5299,1920,4454,0
21,21,9437,10708,9086,11141,1436,7307,9987,4102,992,11270,2273,1172,13726,-320,8135,4400,8404,2759,10198,6456,2293,955,3606,0
22,22,6584,11243,1262,11519,5378,6111,10749,2109,1177,2168,7461,9241,8645,2580,4171,6947,6980,9024,1674,1651,15225,2446,6605,0
23,23,13463,20094,20700,16197,18750,20204,15963,17461,21282,19792,11814,11700,18232,14339,14699,12600,12769,11572,14847,9076,19665,14244,13934,0
24,24,7240,6609,4394,-1192,4122,4324,5089,-2445,7920,4410,4220,2901,-2535,2094,6458,552,8025,7014,1174,1449,3694,7776,4252,0
25,25,13834,3688,-3386,12327,6917,7950,4404,3426,2215,2045,13985,10197,547,6597,7084,3079,9825,4096,9247,-1641,9419,6098,4914,0
26,26,8676,1717,11737,6491,4713,2302,2452,4695,5236,4032,11511,6920,2770,4616,6605,2181,10582,13659,-10070,98,16651,7754,5621,0
27,27,1001,7100,7742,426,7431,2193,-2758,7275,816,4694,-4003,-408,6412,-641,10257,0,-3982,1612,2185,-901,3874,2100,7251,0
28,28,289,6166,-5996,-8179,-481,-4598,-6288,-4519,3066,-6756,35,-3473,-6599,-8414,-1274,2920,2011,-6634,-4459,-6463,-5698,2387,-4972,0
29,29,2332,9683,13087,8987,8061,8271,2368,4857,15154,5875,13044,4712,8631,476,4192,16893,11068,5076,-3042,10843,1533,5678,4013,0
30,30,-7616,-8170,-9720,-8456,-3908,-10018,-7952,-5393,-1710,-9824,-3021,-4912,-11446,-9070,-2787,-8344,-5605,-8777,-7151,-13516,-4878,-11495,-13183,0
31,31,-656,-3296,-8051,-8358,2327,-6337,-4152,-2328,-5177,-9776,-1445,-1231,-10468,-5093,468,244,-2469,144,478,-5488,-4015,2847,-5471,0
32,32,15055,6755,2014,1735,-482,9504,16080,7224,9262,14210,6032,11357,11920,907,143,5800,14459,5375,15533,6246,1164,9028,9102,0
33,33,4715,10516,9571,11070,4730,2485,5266,3420,4815,7951,-456,8529,5468,4272,1188,2353,13398,4764,8916,3479,10090,10355,7188,0
