,number,phone_no_m,busi_count_1908,busi_count_1909,busi_count_1910,busi_count_1911,busi_count_1912,busi_count_2001,busi_count_2002,busi_count_2003,busi_nunique_1908,busi_nunique_1909,busi_nunique_1910,busi_nunique_1911,busi_nunique_1912,busi_nunique_2001,busi_nunique_2002,busi_nunique_2003,flow_1908,flow_1909,flow_1910,flow_1911,flow_1912,flow_2001,flow_2002,flow_2003,label
0,0,672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,150.0,145.0,145.0,129.0,140.0,126.0,49.0,55.0,143.0,138.0,138.0,124.0,140.0,125.0,49.0,50.0,1908.85314655304,2188.5860271453857,4530.782520294189,1576.386368751526,2144.6972122192383,1379.9710941314695,67.07774066925049,168.1245050430298,0
1,1,5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,124.0,127.0,114.0,212.0,183.0,214.0,191.0,182.0,106.0,124.0,98.0,187.0,158.0,178.0,178.0,175.0,2705.3908853530884,3151.778081893921,2360.393758773804,8641.022376060486,13169.332113265991,6529.909744262695,5250.179270744324,10088.555220603945,0
2,2,eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,113.0,132.0,109.0,119.0,119.0,131.0,43.0,85.0,106.0,117.0,102.0,119.0,119.0,125.0,43.0,80.0,2750.4939403533936,1526.151623725891,1612.7151975631714,2552.3910722732544,4332.521253585815,1404.8261499404907,153.81502151489258,357.53187465667725,0
3,3,0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,4.0,1.0,57.0,56.0,2.0,9.0,4.0,3.0,4.0,1.0,57.0,56.0,2.0,9.0,4.0,3.0,0.2389869689941405,0.2930240631103515,31.538813591003414,169.71539974212646,0.1327123641967772,51.45669174194336,3.1944150924682617,2.176388740539551,0
4,4,28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,194.0,187.0,138.0,132.0,147.0,131.0,121.0,116.0,177.0,165.0,130.0,118.0,133.0,121.0,113.0,108.0,19142.904423713684,14817.098000526428,3947.253430366516,3183.3549909591675,12575.088824272158,4499.885377883911,2502.5347080230717,3303.071922302246,0
5,5,16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,110.0,169.0,158.0,153.0,166.0,199.0,66.0,94.0,98.0,154.0,139.0,138.0,150.0,182.0,62.0,92.0,473.3201084136963,2438.2589836120605,1582.316117286682,2288.8460903167725,1680.059208869934,5196.647272109985,139.1232509613037,764.9109354019165,0
6,6,a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,,,,8.0,97.0,48.0,,,,,,8.0,92.0,43.0,,,,,,0.1618356704711908,1036.015365600586,82.74591732025146,,,1
7,7,7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,,,,,4.0,,,,,,,,4.0,,,,,,,,62.97339153289795,,,,1
8,8,371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,72.0,87.0,67.0,69.0,95.0,13.0,27.0,32.0,64.0,77.0,63.0,61.0,89.0,13.0,27.0,29.0,1387.4066829681396,811.7176828384399,483.57062911987305,618.7266883850098,770.3210439682007,6.982487678527832,109.76908016204835,299.5440979003906,1
9,9,c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,256.0,265.0,291.0,240.0,248.0,248.0,202.0,191.0,234.0,244.0,267.0,226.0,241.0,235.0,202.0,189.0,16651.229182243347,14999.71506500244,15725.349820137024,16045.426044464111,13313.306812286375,10513.28423500061,8941.322949409485,8671.45721244812,0
10,10,4a3fe69177d1db33296ead78bc2eb3410f458f51ceea9c26ad5c7baf10e07e5f0ad6795b98145306d9844f93d4a239bb054ebc20905d55880ea5fdc19331c2da,2.0,11.0,0.0,28.0,88.0,33.0,29.0,29.0,2.0,11.0,0.0,28.0,88.0,33.0,29.0,29.0,0.0383434295654295,2.8696908950805664,0.0149965286254882,23.21003532409668,292.05772590637207,83.89074325561525,121.83305740356448,13.377803802490234,0
11,11,1708e1c2c7e6e3ba949421eede6d80cf77fb12b692a7514a988cd74ad89d963f0c129dfc0db43c5c8fba6b6122c12a3e7e6dc4930686d39b60a1ecd16afa6cda,136.0,137.0,124.0,73.0,99.0,96.0,98.0,112.0,131.0,128.0,124.0,73.0,97.0,95.0,98.0,105.0,2954.611253738404,5615.969556808472,10863.34352302551,5370.138359069824,4599.723380088806,5183.120378494263,2533.836112976074,13381.10251712799,0
