,number,phone_no_m,label,sms_rate_1908,calltypeRate2_1908,calltypeRate1_1908,hour_mode_count_1908,hourAver_1908,day_mode_count_1908,dayAver_1908,sms_rate_1909,calltypeRate2_1909,calltypeRate1_1909,hour_mode_count_1909,hourAver_1909,day_mode_count_1909,dayAver_1909,sms_rate_1910,calltypeRate2_1910,calltypeRate1_1910,hour_mode_count_1910,hourAver_1910,day_mode_count_1910,dayAver_1910,sms_rate_1911,calltypeRate2_1911,calltypeRate1_1911,hour_mode_count_1911,hourAver_1911,day_mode_count_1911,dayAver_1911,sms_rate_1912,calltypeRate2_1912,calltypeRate1_1912,hour_mode_count_1912,hourAver_1912,day_mode_count_1912,dayAver_1912,sms_rate_2001,calltypeRate2_2001,calltypeRate1_2001,hour_mode_count_2001,hourAver_2001,day_mode_count_2001,dayAver_2001,sms_rate_2002,calltypeRate2_2002,calltypeRate1_2002,hour_mode_count_2002,hourAver_2002,day_mode_count_2002,dayAver_2002,sms_rate_2003,calltypeRate2_2003,calltypeRate1_2003,hour_mode_count_2003,hourAver_2003,day_mode_count_2003,dayAver_2003
0,0,672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,0,6.243243243243243,1.0,,38.0,12.833333333333334,21.0,8.25,3.888888888888889,1.0,,19.0,9.210526315789474,21.0,6.25,3.4285714285714284,1.0,,16.0,7.5,11.0,4.137931034482759,3.119047619047619,1.0,,25.0,7.705882352941177,13.0,4.851851851851852,3.975,1.0,,26.0,9.352941176470589,19.0,5.129032258064516,4.326923076923077,0.9911111111111112,0.0088888888888888,34.0,11.842105263157896,14.0,7.258064516129032,7.303030303030303,0.9875518672199172,0.0124481327800829,35.0,14.176470588235292,24.0,8.607142857142858,4.962962962962963,0.9925373134328358,0.0074626865671641,24.0,7.444444444444445,16.0,4.785714285714286
1,1,5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,0,7.040816326530612,0.9971014492753624,0.0028985507246376,118.0,31.363636363636363,49.0,22.258064516129032,15.444444444444445,0.9940047961630696,0.0059952038369304,141.0,43.89473684210526,54.0,27.8,11.784615384615384,0.9986945169712794,0.0013054830287206,105.0,42.55555555555556,104.0,24.70967741935484,8.883333333333333,0.9868667917448404,0.0131332082551594,66.0,28.05263157894737,74.0,17.766666666666666,4.962025316455696,0.9923469387755102,0.0076530612244897,85.0,20.63157894736842,46.0,12.64516129032258,5.976190476190476,0.99601593625498,0.0039840637450199,41.0,11.952380952380953,17.0,8.964285714285714,7.618181818181818,0.9856801909307876,0.0143198090692124,73.0,22.05263157894737,32.0,14.448275862068966,6.735849056603773,1.0,,71.0,23.8,22.0,11.516129032258064
2,2,eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,0,2.4915254237288136,0.8571428571428571,0.1428571428571428,25.0,8.166666666666666,22.0,5.25,2.696428571428572,0.8410596026490066,0.1589403973509933,25.0,10.066666666666666,26.0,5.392857142857143,2.4390243902439024,0.98,0.02,15.0,6.25,11.0,4.0,2.071428571428572,0.9051724137931034,0.0948275862068965,16.0,7.733333333333333,14.0,4.296296296296297,2.1041666666666665,0.9108910891089108,0.0891089108910891,22.0,8.416666666666666,9.0,3.8846153846153846,3.290322580645161,0.9852941176470588,0.0147058823529411,32.0,10.736842105263158,22.0,7.285714285714286,4.428571428571429,0.989247311827957,0.010752688172043,42.0,15.5,20.0,9.620689655172416,3.5974025974025974,0.9133574007220217,0.0866425992779783,44.0,16.294117647058822,32.0,9.233333333333333
3,3,0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,0,2.9240506329113924,0.9805194805194806,0.0194805194805194,53.0,22.0,29.0,14.903225806451612,3.0569105691056917,0.9654255319148936,0.0345744680851063,44.0,17.09090909090909,26.0,12.533333333333331,3.181347150259068,0.988599348534202,0.011400651465798,81.0,30.7,40.0,20.466666666666665,3.2766990291262137,0.988148148148148,0.0118518518518518,79.0,33.75,40.0,22.5,3.135802469135802,0.9908136482939632,0.0091863517060367,122.0,44.8235294117647,43.0,24.580645161290324,3.629370629370629,1.0,,78.0,24.714285714285715,44.0,16.741935483870968,2.8,0.9917582417582418,0.0082417582417582,55.0,19.157894736842103,31.0,12.551724137931034,3.5595238095238093,0.9983277591973244,0.0016722408026755,88.0,37.375,37.0,19.29032258064516
4,4,28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,0,7.857142857142857,1.0,,41.0,7.857142857142857,9.0,4.583333333333333,11.88888888888889,0.9906542056074766,0.0093457943925233,33.0,8.23076923076923,8.0,4.28,4.705882352941177,1.0,,21.0,6.153846153846154,9.0,4.0,4.071428571428571,1.0,,10.0,4.75,10.0,3.1666666666666665,3.2857142857142856,1.0,,9.0,4.181818181818182,8.0,2.421052631578948,11.5,1.0,,16.0,5.411764705882353,9.0,3.4074074074074074,16.22222222222222,1.0,,20.0,8.588235294117647,15.0,5.0344827586206895,6.538461538461538,1.0,,14.0,6.538461538461538,13.0,3.5416666666666665
5,5,16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,0,5.0,0.96,0.04,21.0,7.8125,17.0,4.62962962962963,4.555555555555555,0.9634146341463414,0.0365853658536585,24.0,9.11111111111111,22.0,5.857142857142857,4.04,0.9405940594059404,0.0594059405940594,15.0,7.214285714285714,11.0,3.740740740740741,3.4705882352941178,0.923728813559322,0.0762711864406779,14.0,8.428571428571429,11.0,4.068965517241379,3.193548387096774,1.0,,24.0,5.823529411764706,26.0,4.304347826086956,5.484848484848484,1.0,,27.0,9.526315789473683,23.0,6.033333333333333,4.814814814814815,0.9769230769230768,0.023076923076923,18.0,8.125,18.0,4.814814814814815,6.166666666666667,0.972972972972973,0.027027027027027,18.0,7.7894736842105265,13.0,5.285714285714286
6,6,a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,1,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,33.0,12.0,33.0,18.0,5.5,1.0,,7.0,3.6666666666666665,5.0,2.357142857142857,5.2,0.9615384615384616,0.0384615384615384,9.0,3.25,10.0,3.7142857142857135,,,,,,,,,,,,,,
7,7,7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,1,5.416666666666667,0.9692307692307692,0.0307692307692307,19.0,5.0,16.0,3.611111111111111,,,,,,,,,,,,,,,,,,,,,,7.888888888888889,0.943661971830986,0.056338028169014,30.0,10.142857142857142,48.0,23.666666666666668,,,,,,,,,,,,,,,,,,,,,
8,8,371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,1,3.3541666666666665,0.906832298136646,0.093167701863354,24.0,8.473684210526315,14.0,5.75,3.0638297872340425,0.8680555555555556,0.1319444444444444,22.0,7.2,18.0,5.76,2.966666666666667,0.7415730337078652,0.2584269662921348,13.0,5.235294117647059,9.0,4.45,2.833333333333333,0.8676470588235294,0.1323529411764706,9.0,3.5789473684210527,10.0,3.7777777777777777,5.304347826086956,0.979344262295082,0.020655737704918,589.0,138.63636363636363,1159.0,108.92857142857144,11.307692307692308,0.6326530612244898,0.3673469387755102,16.0,7.736842105263157,10.0,4.9,21.625,0.8034682080924855,0.1965317919075144,19.0,9.105263157894736,17.0,6.653846153846154,12.0625,0.4507772020725388,0.5492227979274611,34.0,10.157894736842104,16.0,6.433333333333334
9,9,c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,0,2.9753086419753085,0.991701244813278,0.0082987551867219,54.0,25.36842105263158,33.0,15.548387096774194,3.7222222222222223,0.9813432835820896,0.0186567164179104,62.0,25.52380952380953,39.0,17.866666666666667,2.715909090909091,0.9686192468619248,0.0313807531380753,49.0,23.9,32.0,15.419354838709678,2.767857142857143,0.9774193548387096,0.0225806451612903,78.0,28.181818181818183,39.0,20.666666666666668,2.599099099099099,0.9705372616984402,0.0294627383015597,70.0,28.85,35.0,18.61290322580645,2.79746835443038,0.9434389140271492,0.0565610859728506,54.0,23.26315789473684,39.0,14.258064516129032,2.608695652173913,0.9527777777777776,0.0472222222222222,43.0,17.142857142857142,21.0,12.413793103448276,2.6296296296296298,0.976525821596244,0.0234741784037558,78.0,26.625,28.0,14.2
