,number,phone_no_m,label,voc_rate_1908,calltype1_rate1908,calltype3_rate1908,city_rate1908,country_rate1908,IMEI_rate1908,call_dur_mean1908,hourAver_1908,dayAver_1908,voc_rate_1909,calltype1_rate1909,calltype3_rate1909,city_rate1909,country_rate1909,IMEI_rate1909,call_dur_mean1909,hourAver_1909,dayAver_1909,voc_rate_1910,calltype1_rate1910,calltype3_rate1910,city_rate1910,country_rate1910,IMEI_rate1910,call_dur_mean1910,hourAver_1910,dayAver_1910,voc_rate_1911,calltype1_rate1911,calltype3_rate1911,city_rate1911,country_rate1911,IMEI_rate1911,call_dur_mean1911,hourAver_1911,dayAver_1911,voc_rate_1912,calltype1_rate1912,calltype3_rate1912,city_rate1912,country_rate1912,IMEI_rate1912,call_dur_mean1912,hourAver_1912,dayAver_1912,voc_rate_2001,calltype1_rate2001,calltype3_rate2001,city_rate2001,country_rate2001,IMEI_rate2001,call_dur_mean2001,hourAver_2001,dayAver_2001,voc_rate_2002,calltype1_rate2002,calltype3_rate2002,city_rate2002,country_rate2002,IMEI_rate2002,call_dur_mean2002,hourAver_2002,dayAver_2002,voc_rate_2003,calltype1_rate2003,calltype3_rate2003,city_rate2003,country_rate2003,IMEI_rate2003,call_dur_mean2003,hourAver_2003,dayAver_2003
0,0,672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,0,4.766666666666667,,,35.5,14.2,,73.24475524475524,9.533333333333331,5.107142857142857,5.32258064516129,,,81.5,54.333333333333336,,94.35151515151514,10.3125,5.689655172413793,7.861111111111111,,,139.0,46.333333333333336,,65.6678445229682,17.6875,9.129032258064516,5.125,,,61.0,24.4,,67.0,8.2,4.555555555555555,6.25,,,86.0,34.4,,69.21714285714286,8.75,6.0344827586206895,7.433333333333334,,,108.5,72.33333333333333,,89.22421524663677,12.38888888888889,7.193548387096774,4.6875,,,36.0,24.0,,54.50666666666667,3.947368421052632,4.411764705882353,5.071428571428571,,,67.0,33.5,,61.33802816901409,4.176470588235294,2.84
1,1,5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,0,1.2,,,12.0,12.0,,112.33333333333331,1.7142857142857142,2.0,2.0,,,40.0,40.0,,78.875,3.333333333333333,2.6666666666666665,1.3571428571428572,,,19.0,19.0,,55.47368421052632,1.7272727272727273,1.4615384615384617,2.7333333333333334,,,41.0,20.5,,89.4390243902439,2.9285714285714284,2.2777777777777777,2.0,,,8.0,8.0,,131.25,2.0,1.3333333333333333,1.8571428571428568,,,13.0,6.5,,30.692307692307693,1.625,1.625,2.0,,,12.0,6.0,,49.583333333333336,2.0,1.3333333333333333,1.0,,,11.0,11.0,,71.18181818181819,1.375,1.2222222222222223
2,2,eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,0,4.290322580645161,,,40.333333333333336,20.166666666666668,,41.2406015037594,7.823529411764706,5.115384615384615,3.0588235294117645,,,101.0,50.5,,48.98076923076923,6.5,3.7142857142857135,3.4166666666666665,,,82.0,82.0,,51.39024390243903,4.823529411764706,2.9285714285714284,3.125,,,75.0,37.5,,51.21333333333333,4.6875,2.6785714285714284,3.2777777777777777,,,118.0,59.0,,47.28813559322034,8.428571428571429,4.068965517241379,6.0,,,253.0,126.5,,35.67054263565891,16.125,8.32258064516129,5.619047619047619,,,118.0,118.0,,52.57627118644068,7.375,4.37037037037037,4.8,,,261.0,130.5,,44.30303030303031,15.529411764705882,8.516129032258064
3,3,0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,0,2.5210843373493974,,,167.4,46.5,,85.86618876941458,49.23529411764706,27.0,3.0280701754385966,,,863.0,86.3,,85.837775202781,45.42105263157895,28.766666666666666,3.2758620689655173,,0.0853801169590643,850.0,106.25,,71.05964912280702,50.294117647058826,32.88461538461539,3.0686274509803924,,0.1373801916932907,617.0,77.125,,63.21565495207668,34.77777777777778,23.185185185185187,3.589108910891089,,0.1862068965517241,717.0,119.5,,61.97379310344827,48.333333333333336,23.387096774193548,3.664,,0.131004366812227,149.33333333333334,56.0,,64.6528384279476,25.444444444444443,14.774193548387096,2.76,,0.1231884057971014,138.0,69.0,,103.34782608695652,9.857142857142858,4.928571428571429,2.890547263681592,,0.1824440619621342,286.5,95.5,,81.82960413080895,38.73333333333333,18.741935483870968
4,4,28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,0,2.5,,,9.0,9.0,,37.5,2.5,2.5,1.25,,,2.5,2.5,,51.8,1.0,1.25,1.2142857142857142,,,8.5,8.5,,64.70588235294117,1.5454545454545454,1.4166666666666667,1.125,,,9.0,9.0,,50.888888888888886,1.2857142857142858,2.25,1.3333333333333333,,,1.6,1.6,,20.625,1.3333333333333333,1.1428571428571428,1.0,,,3.0,3.0,,17.0,1.0,1.0,1.0,,,3.0,3.0,,77.0,1.0,1.0,1.0,,,6.0,6.0,,40.5,1.5,1.0
5,5,16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,0,2.652173913043478,,,61.0,61.0,,132.36065573770492,3.8125,3.05,1.9292929292929293,,,191.0,191.0,,64.26178010471205,11.9375,6.821428571428571,1.7674418604651163,,,38.0,38.0,,51.276315789473685,5.066666666666666,3.3043478260869565,2.0,,,114.0,114.0,,51.62280701754386,7.6,4.384615384615385,1.7857142857142858,,,50.0,50.0,,90.26,3.8461538461538463,2.1739130434782608,2.5384615384615383,,,47.0,31.33333333333333,,135.88888888888889,5.823529411764706,3.5357142857142856,2.4814814814814814,,,67.0,67.0,,333.4179104477612,4.785714285714286,2.68,2.973684210526316,,,110.0,110.0,,244.4867256637168,7.533333333333333,3.896551724137931
6,6,a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0533333333333332,,,79.0,79.0,,35.51898734177215,13.166666666666666,26.33333333333333,1.1291585127201569,,,288.5,192.33333333333331,,78.02253032928942,38.46666666666667,27.476190476190474,1.0551724137931036,,,612.0,612.0,,40.05555555555556,55.63636363636363,61.2,,,,,,,,,,,,,,,,,,
7,7,7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,1,1.947368421052632,,,18.5,9.25,,272.2432432432432,2.3125,5.285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1265822784810129,,,,,,75.57303370786516,12.714285714285714,29.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,1,1.0972222222222223,,,36.0,18.0,,49.0,4.157894736842105,3.0384615384615383,1.1538461538461535,,,38.0,38.0,,49.06666666666667,3.0,1.9565217391304348,1.0833333333333333,,,23.0,23.0,,67.53846153846153,1.8571428571428568,1.625,1.037037037037037,,,28.0,14.0,,39.25,2.1538461538461537,2.0,1.119047619047619,,,23.5,15.666666666666666,,51.42553191489362,3.357142857142857,2.136363636363636,1.4285714285714286,,,10.0,10.0,,29.4,2.0,1.6666666666666667,1.25,,,10.0,5.0,,36.6,2.0,3.333333333333333,1.404494382022472,,,30.0,30.0,,44.304,6.944444444444445,4.807692307692308
9,9,c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,0,2.5703125,,,81.25,21.666666666666668,,46.55623100303952,17.31578947368421,10.612903225806452,3.601769911504425,,,134.0,33.5,,49.47665847665848,23.94117647058824,13.566666666666666,3.857142857142857,,,475.0,79.16666666666667,,43.56111111111111,27.0,17.419354838709676,2.180451127819549,,,278.0,46.333333333333336,,52.46551724137931,15.263157894736842,9.666666666666666,2.31496062992126,,,146.0,48.66666666666666,,45.85374149659864,16.333333333333332,9.483870967741936,3.984848484848485,,,261.0,43.5,,47.87832699619772,14.61111111111111,8.483870967741936,2.017857142857143,,,113.0,56.5,,76.16814159292035,8.071428571428571,4.708333333333333,2.8739495798319328,,,341.0,48.71428571428572,,52.64035087719298,21.375,11.03225806451613
